city,country,hiking_score,beach_score,cultural_sites_score,nightlife_score,family_friendly_score,luxury_infrastructure_score,avg_accom_cost,avg_daily_expense,safety_score,remoteness_score,label
Ölüdeniz,Turkey,5,8,3,4,4,4,30,14,7,5,Relaxation
Kaş,Turkey,5,7,4,3,4,4,28,14,7,6,Relaxation
Datça,Turkey,4,7,4,2,3,3,25,12,7,7,Relaxation
Alaçatı,Turkey,3,6,3,5,4,6,60,25,7,5,Relaxation
Side,Turkey,3,7,5,4,6,5,35,16,7,4,Relaxation
Siena,Italy,4,1,9,4,5,6,95,40,8,4,Culture
Ravenna,Italy,2,3,8,3,5,4,65,30,8,4,Culture
Bologna,Italy,3,2,8,6,5,5,80,35,8,3,Culture
Lecce,Italy,3,4,8,4,4,4,55,25,8,5,Culture
Palermo,Italy,3,4,8,6,4,4,50,22,7,4,Culture
Naples,Italy,3,3,9,6,4,4,55,25,6,3,Culture
Verona,Italy,3,2,8,5,5,6,90,38,8,3,Culture
Turin,Italy,3,1,8,5,5,5,70,32,8,3,Culture
Toledo,Spain,3,1,9,3,5,4,55,25,8,4,Culture
Salamanca,Spain,2,1,8,5,4,4,45,22,8,4,Culture
Santiago de Compostela,Spain,4,2,8,4,4,4,50,24,8,5,Culture
Córdoba,Spain,3,1,9,4,5,4,48,22,7,4,Culture
Segovia,Spain,3,1,8,3,5,4,50,24,8,4,Culture
Girona,Spain,3,3,8,4,5,5,70,30,8,4,Culture
San Sebastián,Spain,4,6,7,6,5,7,120,50,8,4,Culture
Braga,Portugal,3,2,8,4,5,4,40,20,8,4,Culture
Coimbra,Portugal,3,2,8,4,4,4,38,18,8,4,Culture
Sintra,Portugal,4,3,9,2,5,5,65,28,8,4,Culture
Thessaloniki,Greece,3,4,8,7,5,5,55,25,7,3,Culture
Nafplio,Greece,4,4,8,3,5,5,60,28,8,5,Culture
Mostar,Bosnia,5,1,8,3,3,3,22,10,6,6,Culture
Sarajevo,Bosnia,4,1,8,5,4,3,25,12,6,5,Culture
Ljubljana,Slovenia,5,1,7,5,6,5,60,28,8,4,Culture
Český Krumlov,Czech Republic,3,1,9,3,4,4,50,22,8,5,Culture
Budapest,Hungary,4,2,9,8,5,6,55,25,7,3,Culture
Gdańsk,Poland,3,3,8,5,5,4,35,18,8,4,Culture
Wrocław,Poland,3,1,7,5,5,4,30,16,8,4,Culture
Vilnius,Lithuania,3,1,7,5,4,4,32,16,8,4,Culture
Kamakura,Japan,4,3,9,2,6,5,80,35,9,4,Culture
Nara,Japan,4,1,9,2,7,5,75,35,9,4,Culture
Kanazawa,Japan,3,2,8,4,5,5,80,38,9,5,Culture
Takayama,Japan,5,1,8,2,5,5,80,35,9,6,Culture
Nikko,Japan,6,1,8,2,5,4,70,32,9,5,Culture
Gyeongju,South Korea,4,3,9,2,5,4,40,20,9,5,Culture
Hue,Vietnam,3,4,9,3,4,3,15,8,6,5,Culture
Hampi,India,4,1,9,1,3,2,8,5,5,7,Culture
Jodhpur,India,3,1,8,2,4,4,20,10,6,5,Culture
Amritsar,India,2,1,8,2,4,3,15,8,6,5,Culture
Pushkar,India,3,1,7,2,3,2,10,6,5,6,Culture
Madurai,India,2,1,8,2,4,3,12,6,6,5,Culture
Kandy,Sri Lanka,4,2,7,3,5,4,20,10,6,5,Culture
Galle,Sri Lanka,3,5,7,3,4,4,25,12,6,5,Culture
Meknes,Morocco,3,1,8,2,3,3,20,10,6,6,Culture
Volubilis Region,Morocco,3,1,9,1,3,2,18,8,6,7,Culture
Stone Town,Tanzania,3,5,8,3,3,3,35,15,5,6,Culture
Lalibela,Ethiopia,4,1,9,1,2,2,15,8,4,9,Culture
Axum,Ethiopia,3,1,9,1,2,2,12,6,4,9,Culture
Lamu,Kenya,3,6,7,2,3,3,30,14,5,8,Culture
Saint-Louis,Senegal,2,4,7,3,3,2,18,10,5,7,Culture
Timbuktu,Mali,3,1,7,1,2,1,15,8,3,10,Culture
Antigua,Antigua and Barbuda,3,7,5,5,5,7,120,45,7,5,Culture
Trinidad,Cuba,3,4,8,4,3,3,25,12,6,7,Culture
Mérida,Mexico,3,3,8,5,5,4,35,16,7,4,Culture
San Cristóbal de las Casas,Mexico,5,1,7,4,4,3,18,10,6,6,Culture
Guanajuato,Mexico,3,1,8,5,4,3,22,12,7,5,Culture
Potosí,Bolivia,3,1,8,2,2,2,10,6,4,8,Culture
Arequipa,Peru,5,1,8,4,4,3,22,12,6,6,Culture
Colonia del Sacramento,Uruguay,2,3,8,3,4,4,45,22,8,5,Culture
Plovdiv,Bulgaria,4,1,8,5,4,3,22,12,8,4,Culture
Tbilisi Old Town,Georgia,5,1,8,5,4,3,28,16,7,5,Culture
Kutaisi,Georgia,5,1,7,3,3,2,15,8,7,6,Culture
Khiva,Uzbekistan,2,1,9,1,3,2,15,8,6,9,Culture
Bukhara,Uzbekistan,2,1,9,2,3,3,18,10,6,8,Culture
Penang George Town,Malaysia,3,4,8,5,5,4,25,12,7,4,Culture
Battambang,Cambodia,3,1,7,2,3,2,10,5,5,7,Culture
Leon,Nicaragua,3,3,7,4,3,2,12,6,4,6,Budget
Granada Nicaragua,Nicaragua,3,3,7,4,4,3,15,8,5,6,Budget
San Juan del Sur,Nicaragua,3,7,2,5,3,3,18,8,5,6,Budget
Kampot,Cambodia,3,3,5,3,3,2,10,5,6,7,Budget
Kep,Cambodia,3,5,3,2,3,2,12,6,6,7,Budget
Vang Vieng,Laos,6,1,2,5,2,2,8,5,5,7,Budget
Mandalay,Myanmar,3,1,7,2,3,3,15,8,5,6,Budget
Nyaungshwe,Myanmar,4,1,6,2,3,2,10,5,5,7,Budget
Hpa-An,Myanmar,6,1,4,1,3,1,8,4,5,8,Budget
Pondicherry,India,2,5,6,3,4,3,15,8,6,5,Budget
Fort Kochi,India,2,4,7,3,4,3,15,8,6,5,Budget
Goa South,India,3,7,3,4,4,3,15,8,6,5,Budget
Trincomalee,Sri Lanka,3,7,4,2,4,3,15,8,6,6,Budget
Kandy Region,Sri Lanka,4,2,6,2,4,3,15,8,6,6,Budget
Chitwan,Nepal,6,1,3,1,3,2,10,6,5,7,Budget
Lumbini,Nepal,2,1,6,1,3,1,8,4,5,8,Budget
Ouarzazate,Morocco,4,1,5,1,3,2,15,8,5,7,Budget
Taroudant,Morocco,3,1,5,2,3,2,12,6,6,7,Budget
Toubkal Region,Morocco,8,1,3,1,2,1,12,6,5,8,Adventure
Dahab,Egypt,4,7,3,3,3,3,15,8,6,6,Budget
Luxor,Egypt,2,1,9,2,3,3,18,10,5,5,Culture
Siwa Oasis,Egypt,3,1,4,1,2,2,10,5,5,9,Budget
Zanzibar West,Tanzania,3,7,3,3,3,3,25,12,5,6,Budget
Moshi,Tanzania,6,1,3,2,3,2,15,8,5,6,Budget
Arusha,Tanzania,5,1,3,3,3,3,20,10,5,5,Budget
Stone Town Zanzibar,Tanzania,3,5,7,3,3,3,25,12,5,6,Budget
Entebbe,Uganda,3,3,3,3,4,3,20,10,5,5,Budget
Kigali,Rwanda,3,1,4,3,3,3,25,12,6,6,Budget
Livingstone,Zambia,5,1,3,3,3,3,25,12,5,7,Budget
Victoria Falls Town,Zimbabwe,5,1,3,3,3,3,30,15,5,7,Budget
Cape Maclear,Malawi,3,6,2,2,3,1,8,4,5,8,Budget
Maun,Botswana,4,1,2,2,3,3,30,15,5,8,Budget
Swakopmund,Namibia,5,4,3,3,4,4,40,20,6,7,Adventure
Sossusvlei,Namibia,5,1,2,1,2,3,60,30,6,10,Adventure
Luang Prabang Region,Laos,5,1,7,2,3,3,20,10,6,7,Budget
Sapa Town,Vietnam,7,1,4,2,3,2,12,6,6,7,Budget
Ninh Binh,Vietnam,5,1,6,2,4,3,12,6,7,5,Budget
Phú Quốc,Vietnam,3,7,2,3,4,4,20,10,7,6,Budget
Quy Nhon,Vietnam,3,6,3,2,3,2,12,6,6,6,Budget
Hội An,Vietnam,3,5,8,4,5,4,18,10,7,5,Culture
Dalat,Vietnam,5,1,4,3,4,3,12,6,7,6,Budget
Batticaloa,Sri Lanka,2,5,4,2,3,2,10,5,5,7,Budget
Jaffna,Sri Lanka,2,4,6,2,3,2,10,5,5,7,Budget
Dushanbe,Tajikistan,4,1,4,2,3,2,15,8,5,7,Budget
Khujand,Tajikistan,3,1,5,2,3,2,12,6,5,8,Budget
Osh,Kyrgyzstan,4,1,4,3,3,2,10,6,5,7,Budget
Karakol,Kyrgyzstan,7,1,3,2,3,2,12,6,6,8,Adventure
Almaty,Kazakhstan,5,1,5,5,4,4,30,16,6,5,Budget
Nur-Sultan,Kazakhstan,2,1,4,4,4,5,40,20,7,5,Budget
Samarkand Region,Uzbekistan,3,1,8,2,3,2,15,8,6,7,Culture
Tashkent,Uzbekistan,2,1,6,4,4,3,18,10,6,5,Budget
Yerevan,Armenia,4,1,7,5,4,3,22,12,6,5,Budget
Dilijan,Armenia,6,1,5,2,3,2,15,8,6,7,Budget
Batumi,Georgia,4,6,4,5,5,4,25,14,6,5,Budget
Mestia Region,Georgia,8,1,3,1,2,1,12,6,5,9,Adventure
Ulcinj,Montenegro,4,7,4,4,4,3,30,14,7,5,Budget
Shkodër,Albania,5,3,5,3,3,2,15,8,6,6,Budget
Berat,Albania,4,1,7,2,3,2,12,6,6,7,Budget
Gjirokastër,Albania,4,1,7,2,3,2,12,6,6,7,Culture
Ohrid,North Macedonia,4,5,7,3,4,3,18,10,7,6,Budget
Skopje,North Macedonia,3,1,6,5,4,3,18,10,7,4,Budget
Novi Sad,Serbia,3,2,6,6,4,3,22,12,7,4,Budget
Niš,Serbia,3,1,5,5,3,3,18,10,7,5,Budget
Mostar Region,Bosnia,5,1,7,3,3,3,18,10,6,6,Budget
Kotor Region,Montenegro,5,5,7,4,4,4,35,18,8,5,Culture
Timișoara,Romania,3,1,6,5,4,3,22,12,8,4,Budget
Cluj-Napoca,Romania,3,1,6,6,4,3,25,14,8,4,Budget
Sibiu,Romania,4,1,7,4,4,3,25,12,8,5,Culture
Sighișoara,Romania,3,1,8,2,4,3,22,10,8,6,Culture
Tartu,Estonia,3,1,6,4,4,3,30,16,8,5,Budget
Pärnu,Estonia,2,5,4,3,5,3,35,18,8,5,Budget
Jurmala,Latvia,2,5,4,3,5,4,40,20,8,4,Budget
Kaunas,Lithuania,3,1,6,5,4,3,28,14,8,4,Budget
Tbilisi Suburbs,Georgia,5,1,5,3,3,2,18,10,7,6,Budget
Dubai Marina,UAE,2,7,3,8,6,10,220,85,9,2,Luxury
Palm Jumeirah,UAE,2,8,2,6,6,10,300,90,9,2,Luxury
Doha West Bay,Qatar,1,4,4,4,5,10,200,70,9,3,Luxury
Muscat Luxury,Oman,3,5,5,2,5,8,150,55,8,5,Luxury
Marrakech Palmeraie,Morocco,3,2,6,3,4,8,180,60,6,5,Luxury
Ubud,Indonesia,5,3,6,3,5,6,60,25,7,5,Luxury
Seminyak,Indonesia,3,7,3,7,4,7,80,35,6,4,Luxury
Riviera Maya,Mexico,3,8,4,5,6,8,160,55,6,4,Luxury
Los Cabos,Mexico,4,8,2,6,5,9,200,70,7,5,Luxury
Punta Mita,Mexico,3,8,2,3,4,9,250,75,7,6,Luxury
Mahe,Seychelles,3,8,3,3,4,8,180,60,8,7,Luxury
Maldives Male Atoll,Maldives,2,9,2,2,3,10,350,90,9,8,Luxury
Bora Bora Lagoon,French Polynesia,3,10,1,2,3,10,450,95,8,9,Luxury
Moorea,French Polynesia,4,9,2,2,4,8,200,70,8,8,Luxury
Tahiti,French Polynesia,4,8,4,3,4,7,150,55,8,7,Luxury
Koh Samui Luxury,Thailand,3,7,3,5,4,8,120,45,7,5,Luxury
Hua Hin Luxury,Thailand,3,6,3,3,5,7,100,40,7,4,Luxury
Langkawi Luxury,Malaysia,4,7,3,3,5,8,100,40,8,6,Luxury
Nusa Dua,Indonesia,3,7,3,3,5,8,120,45,7,4,Luxury
Jimbaran,Indonesia,3,7,3,3,4,7,90,35,7,4,Luxury
Scottsdale,USA,5,1,3,5,5,9,200,65,9,4,Luxury
Palm Beach,USA,2,7,3,4,4,10,300,85,9,3,Luxury
Key West,USA,3,7,4,7,5,7,180,60,8,5,Luxury
Martha's Vineyard,USA,3,7,3,3,6,8,250,75,9,6,Luxury
Hamptons,USA,3,7,3,5,5,10,350,90,9,4,Luxury
Santa Barbara,USA,4,7,4,5,6,8,200,65,9,4,Luxury
Wailea,USA,4,8,2,3,6,9,280,80,9,5,Luxury
Vail,USA,8,1,2,5,5,9,250,80,9,5,Luxury
Telluride,USA,8,1,2,4,4,8,220,70,9,7,Luxury
Jackson Hole,USA,8,1,2,4,5,8,220,70,9,7,Luxury
Sun Valley,USA,7,1,2,3,4,7,180,60,9,7,Luxury
Stowe,USA,7,1,3,3,5,7,170,55,9,5,Luxury
Montauk,USA,3,7,2,5,4,7,200,65,9,5,Luxury
Turks Luxury,Turks and Caicos,2,9,1,3,4,10,350,85,9,8,Luxury
Anguilla,Anguilla,2,9,2,3,4,9,300,80,8,7,Luxury
Mustique,Saint Vincent,2,8,1,2,2,10,500,100,8,10,Luxury
Harbour Island,Bahamas,3,9,2,3,4,8,250,75,8,7,Luxury
Laucala Island,Fiji,3,9,1,1,3,10,800,150,8,10,Luxury
Amanpuri Region,Thailand,3,8,3,3,4,10,400,90,7,6,Luxury
Soneva Region,Maldives,2,9,1,1,3,10,600,120,9,9,Luxury
Como Region,Italy,4,4,5,3,4,10,350,90,9,5,Luxury
Cortina d'Ampezzo,Italy,8,1,4,4,4,9,250,80,9,6,Luxury
Megève,France,7,1,3,4,4,9,250,80,9,6,Luxury
Lech,Austria,8,1,2,3,4,10,350,90,9,7,Luxury
Kitzbühel,Austria,7,1,3,4,4,8,200,70,9,5,Luxury
Orlando Theme Parks,USA,3,4,3,5,10,6,130,65,8,2,Family
Anaheim,USA,2,5,3,4,10,6,140,60,8,2,Family
Legoland Region,Denmark,3,3,3,2,10,5,100,45,9,4,Family
Tokyo Disney Region,Japan,2,3,5,4,9,7,120,50,9,2,Family
Hong Kong,China,3,4,7,7,8,8,120,45,8,2,Family
Sentosa,Singapore,2,5,3,4,9,8,150,55,9,2,Family
Cairns,Australia,5,6,3,4,8,5,90,40,9,5,Family
Christchurch,New Zealand,5,4,5,4,7,5,80,35,9,5,Family
Rotorua,New Zealand,5,2,5,3,8,4,70,32,9,5,Family
Tenerife,Spain,5,7,4,5,8,5,60,28,8,3,Family
Gran Canaria,Spain,4,7,4,5,7,5,55,25,8,3,Family
Majorca,Spain,4,7,5,5,8,6,70,30,8,3,Family
Cyprus Paphos,Cyprus,4,7,6,4,7,5,55,25,8,4,Family
Malta Valletta,Malta,3,6,8,5,6,5,65,28,8,4,Family
Albufeira,Portugal,3,8,4,5,8,5,55,25,8,3,Family
Gothenburg,Sweden,3,3,6,5,8,5,100,45,9,3,Family
Helsinki,Finland,3,3,7,5,8,6,110,48,9,3,Family
Stockholm,Sweden,3,3,8,6,8,6,120,50,9,2,Family
Bruges Family,Belgium,2,1,7,3,8,6,85,38,9,4,Family
Munich,Germany,4,1,8,7,7,6,100,45,8,2,Family
Berlin,Germany,3,2,8,9,5,6,80,35,7,2,Culture
Hamburg,Germany,3,2,7,7,6,5,85,38,8,3,Family
Zurich,Switzerland,4,2,6,5,7,8,200,70,9,3,Family
Geneva,Switzerland,4,2,6,4,7,8,200,70,9,3,Family
Edinburgh Family,Scotland,4,2,8,6,7,6,95,42,8,3,Family
York,England,3,2,8,4,7,5,75,32,8,4,Family
Bath,England,3,1,8,4,6,6,90,38,8,4,Culture
Oxford,England,3,1,9,4,6,6,95,40,8,3,Culture
Cambridge,England,3,1,8,3,6,5,85,38,9,3,Culture
Kyoto Family,Japan,5,2,9,3,8,7,100,45,9,4,Family
Hakone,Japan,5,2,5,2,7,7,110,45,9,5,Family
Jeju Family,South Korea,6,6,5,3,8,5,65,28,9,5,Family
Penang Family,Malaysia,3,5,6,4,8,4,28,14,7,4,Family
Melaka,Malaysia,2,3,7,3,6,4,22,10,7,4,Family
Krabi Family,Thailand,5,8,3,3,6,5,30,15,7,5,Family
Chiang Mai Family,Thailand,5,2,7,4,6,3,20,12,7,5,Family
Puerto Rico San Juan,USA,3,7,7,6,7,6,120,50,7,3,Family
Bermuda Family,Bermuda,3,8,4,3,7,7,180,60,8,6,Family
Riviera Maya Family,Mexico,3,8,4,4,8,7,120,50,6,4,Family
Punta Cana Family,Dominican Republic,2,8,2,4,8,7,100,35,6,4,Family
Nassau,Bahamas,3,8,3,5,7,7,140,55,7,4,Family
Okinawa,Japan,4,7,5,3,7,5,60,28,9,6,Family
Sunshine Coast,Australia,4,7,3,3,8,5,80,35,9,4,Family
Noosa,Australia,4,7,3,4,8,6,100,40,9,5,Family
Byron Bay,Australia,5,7,3,5,6,5,90,38,8,5,Relaxation
Margaret River,Australia,5,6,4,3,5,6,100,40,9,6,Adventure
Tasmania Family,Australia,7,5,5,3,7,5,85,38,9,6,Family
Nelson Bay,Australia,3,7,3,3,7,4,70,30,9,5,Family
Phillip Island,Australia,4,5,3,2,8,4,70,30,9,5,Family
Port Douglas,Australia,5,7,3,3,7,6,110,45,9,6,Family
Dingle,Ireland,5,4,5,4,5,4,70,32,8,7,Adventure
Killarney,Ireland,6,2,5,4,5,4,75,32,8,6,Adventure
Galway,Ireland,3,3,6,7,5,5,80,35,8,4,Culture
Doolin,Ireland,4,3,4,4,4,3,60,28,8,7,Adventure
Westport,Ireland,4,3,4,4,5,4,65,28,8,6,Family
Skye,Scotland,7,3,4,2,4,4,80,35,8,8,Adventure
Oban,Scotland,5,3,4,3,5,4,75,32,8,6,Family
Inverness,Scotland,5,3,5,4,5,4,70,30,8,5,Family
Keswick,England,7,1,4,3,5,4,70,30,8,6,Adventure
Windermere,England,6,1,4,3,6,5,80,35,8,5,Family
Cotswolds,England,4,1,7,2,6,6,90,38,8,5,Culture
Stratford-upon-Avon,England,3,1,8,3,6,5,75,32,8,4,Culture
Canterbury,England,3,2,8,3,5,4,70,30,8,4,Culture
Brighton,England,3,6,5,7,6,5,80,35,8,3,Family
Jersey,Channel Islands,3,6,5,3,6,5,80,35,9,6,Family
Guernsey,Channel Islands,3,5,5,2,6,4,75,32,9,6,Family
Troodos Mountains,Cyprus,7,2,5,2,4,3,40,20,8,6,Adventure
Ronda,Spain,6,1,7,3,4,4,50,25,8,5,Adventure
Picos de Europa,Spain,8,1,3,2,3,3,40,20,8,7,Adventure
Sierra Nevada Spain,Spain,7,2,4,4,4,5,55,25,8,5,Adventure
Saxon Switzerland,Germany,7,1,4,2,4,3,45,22,9,5,Adventure
Black Forest,Germany,7,1,4,3,5,5,70,32,9,5,Adventure
Bavarian Alps,Germany,8,1,4,3,5,6,90,40,9,5,Adventure
Julian Alps,Slovenia,8,2,3,2,4,4,55,25,9,6,Adventure
Plitvice Region,Croatia,7,1,4,2,4,3,45,22,8,6,Adventure
Meteora,Greece,6,1,8,2,4,3,40,20,8,6,Adventure
Samaria Gorge,Greece,8,3,3,2,3,2,40,20,8,7,Adventure
Madeira,Portugal,7,4,4,3,5,5,60,28,8,6,Adventure
Cape Verde,Cape Verde,5,7,3,3,4,4,45,20,6,8,Adventure
Reunion Island,France,8,5,3,3,4,4,70,32,7,8,Adventure
Mount Kenya Region,Kenya,8,1,3,1,2,2,25,12,4,9,Adventure
Simien Mountains,Ethiopia,9,1,3,1,1,1,15,8,4,10,Adventure
Drakensberg,South Africa,8,1,3,2,4,4,35,18,5,7,Adventure
Table Mountain Region,South Africa,7,5,5,6,5,6,60,28,5,4,Adventure
Fiordland,New Zealand,9,1,2,1,3,5,100,45,9,9,Adventure
Abel Tasman,New Zealand,8,5,2,2,4,4,80,35,9,7,Adventure
Blue Mountains,Australia,7,1,4,2,5,4,80,35,9,4,Adventure
Cradle Mountain,Australia,8,1,2,1,4,4,90,38,9,8,Adventure
Karijini,Australia,7,1,1,1,3,2,60,30,8,10,Adventure
Kimberley,Australia,6,4,2,1,2,3,100,45,8,10,Adventure
Coromandel,New Zealand,6,7,2,2,4,3,70,30,9,6,Adventure
Aoraki Region,New Zealand,9,1,1,1,3,4,90,40,9,9,Adventure
Tongariro,New Zealand,8,1,3,2,4,4,70,30,9,7,Adventure
Nikko Region,Japan,6,1,7,2,5,4,70,32,9,5,Adventure
Yakushima,Japan,8,3,3,1,3,3,60,28,9,8,Adventure
Kumano Kodo,Japan,7,2,7,1,3,3,55,28,9,7,Adventure
Kamchatka,Russia,9,2,2,1,1,1,80,40,5,10,Adventure
Altai Mountains,Russia,8,1,3,1,2,1,20,10,5,10,Adventure
Elbrus Region,Russia,8,1,2,1,1,2,25,12,4,9,Adventure
Halong Bay,Vietnam,4,5,4,2,5,4,20,10,6,6,Adventure
Cat Ba Island,Vietnam,6,5,3,3,3,3,15,8,6,7,Adventure
Svaneti,Georgia,8,1,4,1,2,1,12,6,5,10,Adventure
Tusheti,Georgia,8,1,3,1,1,1,10,5,5,10,Adventure
Zagros Mountains,Iran,7,1,5,1,2,2,15,8,5,9,Adventure
Wadi Ghul,Oman,6,2,4,1,3,3,40,20,8,8,Adventure
Dana Nature Reserve,Jordan,7,1,4,1,3,2,25,12,7,8,Adventure
Atlas Mountains,Morocco,8,1,4,1,2,2,15,8,5,8,Adventure
Dogon Country,Mali,5,1,6,1,2,1,10,5,3,10,Adventure
Rwenzori Mountains,Uganda,9,1,2,1,1,1,20,10,4,10,Adventure
Bwindi,Uganda,6,1,2,1,2,2,30,15,4,9,Adventure
Volcanoes National Park,Rwanda,6,1,2,1,2,3,40,20,5,8,Adventure
Mount Meru,Tanzania,8,1,2,1,2,2,25,12,5,8,Adventure
Fish River Canyon,Namibia,7,1,2,1,2,2,30,15,6,9,Adventure
Skeleton Coast,Namibia,4,4,2,1,2,2,60,30,6,10,Adventure
Okavango Delta,Botswana,5,1,2,1,3,5,100,45,6,9,Adventure
Chitwan Region,Nepal,6,1,3,1,3,2,12,6,5,7,Adventure
Langtang,Nepal,9,1,2,1,1,1,10,5,5,10,Adventure
Everest Base Camp,Nepal,10,1,1,1,1,1,15,8,4,10,Adventure
Tiger Leaping Gorge,China,8,1,3,1,2,1,12,6,6,9,Adventure
Jiuzhaigou,China,7,1,4,1,4,3,30,15,7,8,Adventure
Huangshan,China,8,1,4,2,4,3,25,14,7,6,Adventure
Guilin,China,6,1,6,3,5,4,25,12,7,5,Adventure
Lushan,China,6,1,5,2,4,3,20,10,7,6,Adventure
Jeju Hallasan,South Korea,7,5,4,2,5,4,50,25,9,5,Adventure
Seoraksan,South Korea,7,2,4,2,5,3,40,20,9,5,Adventure
Taroko Gorge,Taiwan,8,2,4,2,4,3,30,15,8,6,Adventure
Alishan,Taiwan,7,1,4,2,4,3,25,12,8,6,Adventure
Borneo Sabah,Malaysia,7,5,3,3,4,4,30,15,7,7,Adventure
Khao Sok,Thailand,7,1,2,1,3,3,18,8,7,7,Adventure
Doi Inthanon,Thailand,7,1,3,2,4,2,15,8,7,6,Adventure
Ba Be,Vietnam,6,1,3,1,3,1,8,5,6,9,Adventure
Phong Nha,Vietnam,7,2,3,2,3,2,10,6,6,8,Adventure
Raja Ampat,Indonesia,5,9,1,1,2,3,50,25,6,10,Adventure
Komodo,Indonesia,5,7,2,1,3,3,40,20,6,9,Adventure
Flores,Indonesia,5,6,3,2,3,2,15,8,6,8,Adventure
Tana Toraja,Indonesia,4,1,7,1,2,2,12,6,5,9,Culture
Lake Toba,Indonesia,4,3,4,2,3,2,10,5,6,7,Budget
Sumba,Indonesia,4,7,3,1,3,3,25,12,6,9,Relaxation
Wakatobi,Indonesia,3,8,1,1,2,3,35,15,6,9,Relaxation
Derawan Islands,Indonesia,3,8,1,1,2,2,15,8,6,10,Relaxation
Belitung,Indonesia,3,8,2,2,3,3,18,8,6,8,Relaxation
Karimunjawa,Indonesia,3,7,1,2,3,2,12,6,6,9,Relaxation
Goa Luxury,India,3,7,3,5,4,6,80,30,6,4,Luxury
Kerala Backwaters,India,3,4,5,2,4,5,40,18,6,6,Relaxation
Andaman Islands,India,4,8,2,2,3,3,25,12,6,8,Relaxation
Lakshadweep,India,2,9,1,1,3,3,30,14,7,9,Relaxation
Palolem,India,3,7,2,4,3,3,12,6,6,6,Relaxation
