city,country,hiking_score,beach_score,cultural_sites_score,nightlife_score,family_friendly_score,luxury_infrastructure_score,avg_accom_cost,avg_daily_expense,safety_score,remoteness_score,label
Kovalam,India,3,7,3,3,4,4,18,8,6,5,Relaxation
Varkala,India,3,7,3,3,3,3,12,6,6,6,Relaxation
Havelock Island,India,4,8,1,2,3,3,20,10,6,8,Relaxation
Neil Island,India,3,7,1,1,3,2,15,8,6,9,Relaxation
Tangalle,Sri Lanka,3,8,2,2,3,3,18,8,6,7,Relaxation
Bentota,Sri Lanka,3,7,2,2,4,4,22,10,6,5,Relaxation
Hikkaduwa,Sri Lanka,3,7,3,4,4,3,15,8,6,5,Relaxation
Maldives Ari Atoll,Maldives,2,9,1,1,3,9,350,85,9,9,Luxury
Maldives Baa Atoll,Maldives,2,9,1,1,3,9,380,90,9,9,Luxury
Siargao Town,Philippines,4,8,1,4,3,3,20,10,6,8,Relaxation
Camiguin,Philippines,5,7,3,2,3,2,12,6,5,8,Relaxation
Siquijor Island,Philippines,3,7,2,2,3,2,10,5,6,8,Relaxation
Bantayan Island,Philippines,3,8,1,2,3,2,10,5,6,8,Relaxation
Moalboal,Philippines,3,7,2,3,3,3,12,6,6,7,Relaxation
Dumaguete,Philippines,3,5,4,3,4,3,12,6,6,6,Budget
Cebu,Philippines,3,6,5,5,5,5,25,12,6,4,Budget
Iloilo,Philippines,2,4,5,4,4,3,12,6,6,5,Budget
Vigan,Philippines,2,2,8,2,4,3,12,6,6,6,Culture
Intramuros Manila,Philippines,2,2,8,6,4,4,25,12,5,3,Culture
Battambang Region,Cambodia,3,1,6,2,3,2,8,4,5,7,Budget
Kampong Cham,Cambodia,2,1,4,2,3,1,6,4,5,7,Budget
Kratie,Cambodia,2,1,4,1,3,1,6,3,5,8,Budget
Koh Kong,Cambodia,4,5,2,1,3,2,10,5,5,8,Budget
Sihanoukville,Cambodia,3,6,2,5,3,3,15,8,5,5,Budget
Koh Rong,Cambodia,3,8,1,4,2,2,12,6,5,8,Relaxation
Luang Prabang City,Laos,5,1,8,2,4,4,22,10,7,7,Culture
Savannakhet,Laos,2,1,4,2,3,1,8,4,5,8,Budget
Thakhek,Laos,5,1,3,1,2,1,6,4,5,8,Budget
Hsipaw,Myanmar,6,2,4,1,3,1,8,4,5,8,Adventure
Kalaw,Myanmar,7,1,4,1,3,1,8,4,5,8,Adventure
Mrauk U,Myanmar,3,1,8,1,2,1,8,4,4,9,Culture
Kengtung,Myanmar,4,1,4,1,2,1,8,4,4,9,Budget
Inle Lake,Myanmar,4,1,5,2,3,2,12,6,5,7,Budget
Pyin Oo Lwin,Myanmar,5,1,4,2,4,2,10,5,5,7,Budget
Kinshasa,Democratic Republic of Congo,2,1,3,4,2,2,25,12,3,6,Budget
Dar es Salaam Coast,Tanzania,3,5,3,4,3,3,22,10,5,5,Budget
Lamu Island,Kenya,3,6,7,2,3,3,28,14,5,8,Culture
Diani,Kenya,3,8,2,3,4,5,45,20,5,6,Relaxation
Watamu,Kenya,3,7,3,2,4,3,25,12,5,7,Relaxation
Malindi,Kenya,3,6,4,3,3,3,22,10,5,6,Budget
Nungwi,Tanzania,3,8,2,3,3,4,30,14,5,7,Relaxation
Paje,Tanzania,3,8,2,2,3,3,22,10,5,7,Relaxation
Jambiani,Tanzania,3,7,1,1,3,2,15,8,5,8,Relaxation
Inhambane,Mozambique,3,7,3,2,3,2,15,8,4,8,Relaxation
Bazaruto,Mozambique,3,8,1,1,3,5,80,35,4,9,Luxury
Nosy Be,Madagascar,4,8,3,3,3,4,30,14,4,8,Relaxation
Île Sainte-Marie,Madagascar,3,7,2,2,3,2,15,8,4,9,Relaxation
Andasibe,Madagascar,6,1,3,1,3,2,15,8,4,8,Adventure
Antananarivo,Madagascar,3,1,5,3,3,2,15,8,3,7,Budget
Cap Skirring,Senegal,3,7,3,3,3,2,20,10,5,8,Relaxation
Dakar,Senegal,2,4,5,5,3,3,25,12,5,5,Budget
Grand Bassam,Ivory Coast,2,5,4,3,3,2,20,10,4,6,Budget
Elmina,Ghana,2,4,7,2,3,2,15,8,6,6,Culture
Cape Coast,Ghana,2,5,7,3,3,2,15,8,6,6,Culture
Kokrobite,Ghana,2,6,2,3,3,2,10,5,6,5,Budget
Abuja,Nigeria,2,1,4,4,3,4,30,15,4,5,Budget
Lagos,Nigeria,2,3,4,6,3,4,35,18,3,3,Budget
Zanzibar Northeast,Tanzania,3,8,2,2,3,4,35,15,5,6,Relaxation
Pemba Island,Tanzania,3,7,2,1,3,3,30,14,5,8,Relaxation
Mafia Island,Tanzania,3,7,1,1,2,2,20,10,5,9,Relaxation
Likoma Island,Malawi,3,5,2,1,3,1,8,4,5,9,Budget
Nkhata Bay,Malawi,3,5,2,2,3,1,8,4,5,8,Budget
Blantyre,Malawi,3,1,3,3,3,2,12,6,4,6,Budget
Harare,Zimbabwe,3,1,3,4,3,3,20,10,4,5,Budget
Bulawayo,Zimbabwe,3,1,4,3,3,2,15,8,4,6,Budget
Great Zimbabwe,Zimbabwe,3,1,7,1,3,2,15,8,4,8,Culture
Lusaka,Zambia,2,1,3,3,3,3,20,10,4,5,Budget
South Luangwa,Zambia,4,1,2,1,3,3,60,25,5,9,Adventure
Lower Zambezi,Zambia,4,1,2,1,3,4,80,35,5,9,Adventure
Chobe,Botswana,4,1,2,1,3,5,100,40,6,8,Adventure
Moremi,Botswana,4,1,2,1,2,4,120,50,6,9,Adventure
Central Kalahari,Botswana,4,1,1,1,2,3,80,35,6,10,Adventure
Etosha,Namibia,4,1,2,1,3,4,60,28,6,8,Adventure
Damaraland,Namibia,5,1,3,1,2,3,60,28,6,9,Adventure
Cape Town,South Africa,6,7,7,7,6,7,70,30,5,3,Culture
Stellenbosch,South Africa,4,3,5,4,4,7,80,35,6,4,Luxury
Franschhoek,South Africa,3,1,3,3,3,8,120,50,6,5,Luxury
Hermanus,South Africa,5,5,3,3,4,5,60,28,6,6,Adventure
Garden Route,South Africa,6,6,4,4,5,5,55,25,5,5,Adventure
Kruger Region,South Africa,5,1,2,2,4,5,70,30,5,6,Adventure
St Lucia South Africa,South Africa,4,6,3,2,4,4,35,18,5,6,Adventure
Knysna,South Africa,5,5,3,3,5,5,55,25,6,5,Relaxation
Plettenberg Bay,South Africa,4,6,3,3,5,5,60,28,6,5,Relaxation
Camps Bay,South Africa,3,7,3,6,4,8,120,45,5,3,Luxury
Clifton,South Africa,3,7,2,5,3,8,140,50,5,3,Luxury
Constantia,South Africa,3,2,4,3,4,8,130,50,6,4,Luxury
Hout Bay,South Africa,4,5,3,3,4,5,70,30,5,4,Relaxation
Durban,South Africa,3,6,4,5,5,4,35,18,4,3,Budget
Port Elizabeth,South Africa,4,5,3,4,5,4,35,18,5,4,Budget
Maputo Beach,Mozambique,3,6,3,4,3,3,18,10,4,6,Budget
Beira,Mozambique,2,4,3,3,2,2,15,8,3,7,Budget
Tulear,Madagascar,3,6,2,2,2,2,12,6,3,9,Budget
Morondava,Madagascar,3,4,3,2,2,2,12,6,3,9,Budget
Tsingy Region,Madagascar,5,1,3,1,2,1,15,8,3,10,Adventure
Victoria,Seychelles,3,7,4,3,5,7,150,55,8,7,Relaxation
La Digue,Seychelles,3,9,2,1,4,6,120,45,8,8,Relaxation
Rodrigues,Mauritius,4,7,3,2,4,3,40,18,8,8,Relaxation
Flic en Flac,Mauritius,3,8,2,3,5,6,80,32,8,6,Relaxation
Grand Baie,Mauritius,3,7,2,5,5,7,100,40,8,5,Relaxation
Le Morne,Mauritius,4,8,2,2,4,7,120,45,8,7,Relaxation
Chamarel,Mauritius,4,3,4,1,4,5,70,28,8,6,Adventure
Saint Denis,Reunion,4,4,5,4,5,5,60,28,7,6,Culture
Cilaos,Reunion,8,1,3,1,3,3,50,22,7,8,Adventure
Saint-Gilles,Reunion,3,7,2,4,5,5,65,28,7,5,Relaxation
Hell-Bourg,Reunion,7,1,4,1,3,2,45,20,7,8,Adventure
Les Saintes,Guadeloupe,3,7,4,2,4,4,55,25,7,7,Relaxation
Marie-Galante,Guadeloupe,3,7,3,2,3,2,35,16,7,8,Relaxation
Deshaies,Guadeloupe,4,7,3,2,4,3,50,22,7,6,Relaxation
Martinique,Martinique,4,7,5,4,5,5,60,28,7,5,Relaxation
Saint Lucia,Saint Lucia,5,8,3,4,5,7,100,40,6,6,Relaxation
Soufrière St Lucia,Saint Lucia,6,6,3,3,4,6,90,35,6,6,Adventure
Bequia,Saint Vincent,3,7,3,2,3,3,50,22,7,8,Relaxation
Canouan,Saint Vincent,2,8,1,2,3,8,250,75,7,8,Luxury
Virgin Gorda,British Virgin Islands,3,8,2,2,4,7,180,60,8,7,Luxury
Jost Van Dyke,British Virgin Islands,3,7,2,4,3,5,120,45,8,8,Relaxation
Nevis,Saint Kitts and Nevis,3,7,4,2,4,6,100,40,7,7,Relaxation
Antigua South,Antigua and Barbuda,3,8,3,4,5,7,130,50,7,5,Relaxation
Cayman Brac,Cayman Islands,3,7,2,2,4,4,80,35,8,7,Relaxation
Grand Cayman,Cayman Islands,3,8,3,5,6,8,180,65,8,5,Luxury
Providenciales,Turks and Caicos,2,9,1,3,5,8,200,65,9,7,Luxury
Salt Cay,Turks and Caicos,2,7,3,1,3,3,80,35,8,9,Relaxation
Eleuthera,Bahamas,3,8,2,2,4,5,100,40,7,7,Relaxation
Exuma,Bahamas,3,9,1,2,3,7,180,65,7,8,Luxury
San Juan,Puerto Rico,3,6,7,7,6,6,110,45,6,3,Culture
Culebra,Puerto Rico,3,8,1,2,3,3,60,28,7,7,Relaxation
Vieques,Puerto Rico,3,8,2,3,3,4,70,30,6,7,Relaxation
St Croix,US Virgin Islands,3,7,5,4,5,5,80,35,6,5,Culture
St Thomas,US Virgin Islands,3,7,4,5,5,6,120,50,6,4,Relaxation
St John,US Virgin Islands,5,8,2,2,4,5,140,55,7,6,Relaxation
Samana,Dominican Republic,4,7,3,3,4,4,40,18,5,6,Relaxation
Bayahibe,Dominican Republic,3,7,2,3,5,5,60,25,6,5,Relaxation
Jarabacoa,Dominican Republic,7,1,3,3,4,3,25,12,5,6,Adventure
Barahona,Dominican Republic,5,6,3,2,3,2,20,10,5,7,Adventure
Viñales,Cuba,5,1,5,2,3,2,20,10,6,7,Adventure
Baracoa,Cuba,5,4,5,2,3,2,20,10,5,8,Adventure
Cienfuegos,Cuba,2,4,7,4,4,3,25,12,6,5,Culture
Camagüey,Cuba,2,2,7,3,3,3,20,10,6,6,Culture
Varadero,Cuba,2,8,2,4,5,5,60,25,6,4,Relaxation
Cayo Santa María,Cuba,2,8,1,2,4,5,70,28,6,6,Relaxation
Bocas del Toro,Panama,4,7,2,5,3,4,30,15,5,6,Relaxation
San Blas Islands,Panama,3,8,3,1,2,2,25,12,5,9,Relaxation
Boquete,Panama,7,1,3,2,4,4,35,18,6,6,Adventure
Panama City,Panama,2,4,5,6,5,6,60,28,5,3,Culture
Semuc Champey,Guatemala,7,1,3,2,2,1,10,5,4,9,Adventure
Lake Atitlán,Guatemala,5,2,6,3,3,2,15,8,4,7,Adventure
Utila,Honduras,4,7,2,5,3,2,15,8,4,7,Budget
Copán,Honduras,4,1,8,2,3,2,18,10,4,7,Culture
Corn Islands,Nicaragua,3,7,1,3,3,2,15,8,4,8,Relaxation
Monteverde,Costa Rica,7,1,3,2,5,4,50,25,7,6,Adventure
Tortuguero,Costa Rica,5,3,2,1,4,3,45,22,7,8,Adventure
Manuel Antonio,Costa Rica,5,7,2,3,6,5,70,30,7,5,Family
Tamarindo,Costa Rica,4,7,2,5,5,5,60,28,7,4,Relaxation
Santa Teresa,Costa Rica,4,7,2,5,3,4,45,22,7,6,Relaxation
Puerto Viejo,Costa Rica,4,7,2,5,3,3,30,15,5,6,Budget
Dominical,Costa Rica,5,7,2,3,3,4,40,20,7,6,Relaxation
Nosara,Costa Rica,4,7,2,3,4,5,65,28,7,6,Relaxation
Matsuyama,Japan,4,3,7,3,6,5,65,30,9,5,Culture
Hiroshima,Japan,3,2,9,5,6,5,70,32,9,4,Culture
Nagasaki,Japan,4,3,8,4,5,5,65,30,9,5,Culture
Fukuoka,Japan,3,3,7,6,6,5,70,32,9,3,Culture
Incheon,South Korea,3,4,6,5,7,5,50,25,9,3,Family
Daegu,South Korea,3,2,6,5,5,4,35,18,9,4,Budget
Jeonju,South Korea,3,1,8,3,5,4,30,16,9,5,Culture
Tainan,Taiwan,3,3,8,5,5,4,25,12,8,4,Culture
Taipei,Taiwan,4,3,7,7,6,6,60,28,8,3,Culture
Kaohsiung,Taiwan,3,4,6,5,6,4,30,15,8,4,Budget
Hualien,Taiwan,7,4,4,3,5,4,30,15,8,5,Adventure
Luodong,Taiwan,3,3,5,3,5,3,22,10,8,5,Budget
Pingtung,Taiwan,5,5,4,2,4,3,20,10,8,6,Budget
Jiufen,Taiwan,4,2,7,3,5,3,28,14,8,5,Culture
George Town Penang,Malaysia,3,4,8,5,5,4,25,12,7,4,Culture
Ipoh,Malaysia,3,1,5,3,5,3,18,10,7,5,Budget
Kuching,Malaysia,4,3,5,4,5,4,22,12,7,5,Budget
Kota Kinabalu,Malaysia,5,5,4,4,5,4,25,14,7,5,Budget
Langkawi Budget,Malaysia,4,7,3,3,5,4,25,12,8,6,Budget
Sibu,Malaysia,2,1,3,2,3,2,15,8,7,6,Budget
Yogyakarta Region,Indonesia,3,4,8,3,5,3,10,6,6,5,Culture
Solo,Indonesia,2,1,7,3,4,3,10,5,6,5,Culture
Bandung,Indonesia,4,1,5,4,5,3,12,6,6,4,Budget
Surabaya,Indonesia,2,2,5,4,4,3,15,8,6,4,Budget
Malang,Indonesia,4,2,5,3,5,3,10,5,6,5,Budget
Bukittinggi,Indonesia,5,1,5,2,3,2,8,4,6,7,Budget
Ubud Budget,Indonesia,5,2,6,3,4,3,15,8,7,5,Budget
Makassar,Indonesia,2,4,4,4,3,3,12,6,5,5,Budget
Labuan Bajo,Indonesia,4,7,2,2,3,3,20,10,6,7,Budget
Semarang,Indonesia,2,2,5,3,4,3,10,5,6,4,Budget
Chiang Rai,Thailand,5,1,6,3,4,3,15,8,7,6,Budget
Sukhothai,Thailand,3,1,8,2,4,2,12,6,7,6,Culture
Lopburi,Thailand,2,1,6,2,4,2,10,5,7,5,Budget
Ayutthaya,Thailand,2,1,8,2,4,3,12,6,7,4,Culture
Nakhon Ratchasima,Thailand,3,1,4,3,4,3,12,6,7,5,Budget
Udon Thani,Thailand,2,1,4,3,4,2,10,5,7,5,Budget
Hat Yai,Thailand,2,2,3,4,4,3,12,6,6,5,Budget
Trang,Thailand,3,5,3,2,4,2,10,5,7,6,Budget
Chumphon,Thailand,3,5,2,2,3,2,10,5,7,6,Budget
Ranong,Thailand,3,4,2,2,3,2,10,5,6,7,Budget
Phitsanulok,Thailand,3,1,5,3,4,2,10,5,7,5,Budget
Nan,Thailand,4,1,5,2,3,2,10,5,7,7,Budget
Mae Hong Son,Thailand,6,1,4,2,3,2,10,5,6,8,Adventure
Loei,Thailand,5,1,3,2,3,2,8,5,7,7,Budget
Nagoya,Japan,3,2,7,5,6,6,80,35,9,3,Culture
Sendai,Japan,4,3,6,4,6,5,70,32,9,4,Family
Sapporo,Japan,5,2,5,5,7,6,80,35,9,4,Family
Hakodate,Japan,3,3,6,4,5,5,60,28,9,5,Culture
Kobe,Japan,4,3,7,5,6,6,80,35,9,3,Culture
Yokohama,Japan,3,3,6,6,7,6,90,40,9,2,Family
Kamakura Region,Japan,4,3,8,2,6,5,75,32,9,4,Culture
Ise,Japan,3,3,7,2,5,4,55,25,9,6,Culture
Naoshima,Japan,3,4,8,2,4,5,60,28,9,6,Culture
Beppu,Japan,3,3,5,3,6,5,55,25,9,5,Family
Miyajima,Japan,4,3,8,2,5,4,60,28,9,5,Culture
Heidelberg,Germany,4,1,8,4,5,5,80,35,9,4,Culture
Rothenburg,Germany,3,1,8,2,6,5,70,30,9,5,Culture
Nuremberg,Germany,3,1,8,5,6,5,70,32,8,3,Culture
Dresden,Germany,3,1,8,5,5,5,65,30,8,3,Culture
Cologne,Germany,3,1,7,7,5,5,75,35,8,2,Culture
Lübeck,Germany,2,3,7,4,5,4,60,28,8,4,Culture
Freiburg,Germany,5,1,6,5,5,5,70,32,9,4,Culture
Leipzig,Germany,3,1,7,7,5,4,50,25,8,3,Culture
Weimar,Germany,3,1,8,3,5,4,55,25,8,4,Culture
Bamberg,Germany,3,1,8,4,5,5,60,28,9,4,Culture
Regensburg,Germany,3,1,8,4,5,4,60,28,9,4,Culture
Trier,Germany,3,1,7,3,5,4,55,25,8,4,Culture
Passau,Germany,3,1,7,3,5,4,55,25,9,5,Culture
Konstanz,Germany,3,3,6,4,6,5,70,30,9,4,Family
Lindau,Germany,3,4,5,3,6,5,75,32,9,5,Family
Garmisch-Partenkirchen,Germany,8,1,3,3,5,6,90,40,9,5,Adventure
Berchtesgaden,Germany,8,1,4,2,5,5,80,35,9,6,Adventure
Sylt,Germany,3,6,3,4,5,7,130,50,9,5,Luxury
Rügen,Germany,4,6,4,3,6,4,60,28,8,5,Family
Lake Constance,Germany,3,4,5,3,7,5,75,32,9,4,Family
Usedom,Germany,3,6,3,3,6,4,55,25,8,5,Family
Baden-Baden,Germany,4,1,5,3,5,8,130,50,9,4,Luxury
Travemünde,Germany,3,5,3,3,6,4,60,28,8,4,Family
Europa-Park Region,Germany,3,1,2,2,10,4,65,30,9,4,Family
Rust,Germany,2,1,2,2,10,4,60,28,9,4,Family
Efteling Region,Netherlands,2,1,3,2,10,4,70,32,9,3,Family
Tivoli Region,Denmark,3,2,6,5,9,6,130,55,9,3,Family
Liseberg Region,Sweden,3,3,5,5,9,5,100,45,9,3,Family
Trondheim,Norway,4,2,6,4,6,5,130,55,9,4,Family
Stavanger,Norway,6,3,5,4,6,5,140,55,9,4,Family
Ålesund,Norway,5,3,5,3,5,4,120,50,9,5,Family
Aarhus,Denmark,3,3,7,5,7,5,100,45,9,3,Family
Odense,Denmark,3,2,6,4,8,4,80,38,9,4,Family
Malmö,Sweden,3,3,6,5,7,5,90,40,9,3,Family
Uppsala,Sweden,3,1,7,4,5,4,80,38,9,3,Culture
Turku,Finland,3,3,6,4,6,4,80,38,9,4,Family
Tampere,Finland,4,3,5,5,7,5,85,40,9,4,Family
Porvoo,Finland,3,3,6,2,6,4,75,35,9,5,Family
Savonlinna,Finland,4,3,5,2,6,4,70,32,9,6,Family
Oulu,Finland,4,2,4,3,6,4,70,32,9,5,Family
Tromsø Family,Norway,5,1,4,3,6,5,140,55,9,7,Family
Bergen Family,Norway,5,2,6,4,6,5,130,50,9,4,Family
Flåm,Norway,6,1,3,1,5,5,120,50,9,7,Family
Lofoten Family,Norway,6,3,3,2,4,4,110,48,9,8,Family
Geiranger,Norway,7,1,3,1,5,4,110,48,9,8,Adventure
Reims,France,3,1,7,4,4,6,80,35,8,4,Culture
Lyon,France,3,1,8,6,5,6,90,40,8,3,Culture
Strasbourg,France,3,1,8,4,6,5,80,35,8,3,Culture
Avignon,France,3,1,8,4,4,5,75,32,8,4,Culture
Arles,France,3,1,8,3,4,4,65,28,8,4,Culture
Carcassonne,France,3,1,8,3,5,4,60,28,8,5,Culture
Colmar,France,3,1,7,3,6,5,75,32,8,4,Culture
Annecy,France,5,3,5,4,6,6,90,38,8,4,Family
Chamonix Family,France,7,1,3,3,6,7,130,50,9,5,Family
Biarritz,France,4,7,4,5,5,7,110,45,8,4,Luxury
Deauville,France,2,5,4,4,5,7,120,48,8,4,Luxury
Arcachon,France,3,6,3,3,6,5,80,35,8,5,Family
Dordogne,France,4,1,7,2,5,5,75,32,8,6,Culture
Provence,France,4,2,7,3,5,6,90,38,8,4,Culture
Corsica,France,7,7,4,3,4,5,80,35,7,6,Adventure
Loire Valley,France,3,1,8,3,5,6,80,35,8,4,Culture
Bordeaux,France,3,2,7,6,5,7,95,40,8,3,Culture
Marseille,France,3,5,7,6,4,5,70,32,7,3,Culture
Normandy,France,4,4,8,3,5,5,75,32,8,4,Culture
Mont Saint-Michel,France,3,3,9,1,5,4,70,30,8,6,Culture
Bruges Culture,Belgium,2,1,8,3,6,6,90,40,9,4,Culture
Antwerp,Belgium,3,1,7,6,5,6,85,38,8,3,Culture
Leuven,Belgium,2,1,6,5,4,4,65,30,9,3,Budget
Namur,Belgium,3,1,5,3,5,4,55,25,9,5,Budget
Dinant,Belgium,4,1,5,2,5,4,55,25,9,5,Family
Lucca,Italy,4,2,8,3,5,5,75,32,8,4,Culture
Matera,Italy,3,2,9,3,4,5,65,28,7,6,Culture
Perugia,Italy,3,1,8,4,4,4,55,25,8,4,Culture
Assisi,Italy,3,1,9,2,4,4,55,25,8,5,Culture
Orvieto,Italy,3,1,8,2,4,4,55,25,8,5,Culture
Bergamo,Italy,4,1,7,4,4,5,65,30,8,3,Culture
Trieste,Italy,3,3,7,4,4,4,55,25,8,4,Culture
Trento,Italy,5,1,6,4,5,5,65,28,9,4,Culture
San Gimignano,Italy,4,1,8,2,4,4,70,30,8,5,Culture
Spoleto,Italy,3,1,7,3,4,4,50,22,8,5,Culture
Lego House Billund,Denmark,2,1,3,2,10,4,90,40,9,5,Family
Futuroscope Region,France,2,1,3,2,9,4,55,28,8,5,Family
Gardaland Region,Italy,3,4,4,3,9,5,70,32,8,3,Family
PortAventura Region,Spain,3,6,3,5,9,5,65,30,8,3,Family
Disneyland Paris Region,France,2,1,4,3,10,6,120,55,8,2,Family
Nagashima Region,Japan,3,3,4,3,9,5,60,28,9,4,Family
Legoland Windsor,England,2,1,3,2,10,5,80,38,9,3,Family
Yas Island,UAE,2,5,3,4,9,9,180,65,9,2,Family
Hershey,USA,2,1,2,2,10,5,90,40,9,3,Family
Wisconsin Dells,USA,3,2,2,3,9,4,70,35,9,3,Family
Myrtle Beach,USA,3,7,2,4,8,5,70,30,8,3,Family
Hilton Head,USA,3,7,3,3,8,7,140,50,9,5,Family
Outer Banks,USA,3,7,2,3,8,4,90,38,9,5,Family
Cape May,USA,3,6,5,3,8,5,100,40,9,4,Family
Mackinac Island,USA,3,3,5,2,8,5,100,40,9,6,Family
Pigeon Forge,USA,4,1,2,3,9,4,70,35,8,4,Family
Lake Tahoe,USA,7,3,2,4,7,7,150,55,9,5,Family
Niagara Falls,USA,3,1,3,4,9,5,80,35,8,3,Family
Destin,USA,3,8,2,3,8,5,100,40,8,4,Family
Gulf Shores,USA,3,7,2,3,8,4,80,35,8,4,Family
Coeur d'Alene,USA,5,3,2,3,8,5,90,38,9,5,Family
Branson,USA,3,2,2,3,9,4,60,30,9,4,Family
Sanibel Island,USA,3,8,2,2,7,5,120,45,9,6,Family
Canmore,Canada,8,1,2,3,7,5,110,45,9,6,Family
Prince Edward Island,Canada,3,6,4,2,8,4,70,32,9,6,Family
Muskoka,Canada,5,4,2,2,7,5,100,40,9,5,Family
Niagara on the Lake,Canada,3,2,5,3,7,6,110,45,9,4,Family
Palazzo Versace Region,Australia,3,7,3,4,7,9,250,80,9,3,Luxury
Hayman Island,Australia,3,8,1,2,3,10,450,100,9,8,Luxury
Lizard Island,Australia,3,8,1,1,3,10,500,110,9,9,Luxury
Qualia Hamilton Island,Australia,3,8,2,3,4,10,400,90,9,7,Luxury
Emirates One&Only,UAE,2,7,3,5,5,10,400,100,9,3,Luxury
Jumby Bay,Antigua and Barbuda,3,9,1,2,3,10,500,100,8,8,Luxury
Parrot Cay,Turks and Caicos,2,9,1,1,3,10,600,110,9,9,Luxury
Amanyara,Turks and Caicos,2,9,1,1,3,10,700,120,9,8,Luxury
Four Seasons Bora,French Polynesia,3,10,1,2,3,10,600,110,8,9,Luxury
Jade Mountain,Saint Lucia,5,7,2,2,3,10,500,100,6,7,Luxury
North Island Seychelles,Seychelles,3,9,1,1,3,10,800,150,8,10,Luxury
Fregate Island,Seychelles,3,9,1,1,2,10,900,160,8,10,Luxury
Song Saa,Cambodia,3,8,1,1,3,9,400,90,6,9,Luxury
